ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
PA-041,Cumberland County,Pennsylvania,47.77,6.3,105,41.47
PA-043,Dauphin County,Pennsylvania,49.78,6.71,108,43.07
PA-045,Delaware County,Pennsylvania,49.28,5.02,92,44.26
PA-047,Elk County,Pennsylvania,46.99,3.97,101,43.02
PA-049,Erie County,Pennsylvania,40.31,-2.62,35,42.93
PA-051,Fayette County,Pennsylvania,47.35,2.7,87,44.65
PA-053,Forest County,Pennsylvania,46.51,2.75,90,43.76
PA-055,Franklin County,Pennsylvania,44.88,4.43,101,40.45
PA-057,Fulton County,Pennsylvania,44.93,6.07,109,38.86
PA-059,Greene County,Pennsylvania,41.61,0.59,67,41.02
PA-061,Huntingdon County,Pennsylvania,47.32,8,112,39.32
PA-063,Indiana County,Pennsylvania,48.92,4.96,101,43.96
PA-065,Jefferson County,Pennsylvania,46.77,3.29,97,43.48
PA-067,Juniata County,Pennsylvania,49.86,8.26,111,41.6
PA-069,Lackawanna County,Pennsylvania,58.61,16.47,126,42.14
PA-071,Lancaster County,Pennsylvania,50.84,8.93,116,41.91
PA-073,Lawrence County,Pennsylvania,43.23,4.44,98,38.79
PA-075,Lebanon County,Pennsylvania,51.44,8.07,110,43.38
PA-077,Lehigh County,Pennsylvania,53.87,8.44,111,45.43
PA-079,Luzerne County,Pennsylvania,55.67,12.76,124,42.91
PA-081,Lycoming County,Pennsylvania,51.34,9.94,120,41.4
PA-083,McKean County,Pennsylvania,44.16,0.81,67,43.35
PA-085,Mercer County,Pennsylvania,41.59,0.78,70,40.81
PA-087,Mifflin County,Pennsylvania,50.02,9.15,113,40.87
PA-089,Monroe County,Pennsylvania,63.14,15.24,122,47.9
PA-091,Montgomery County,Pennsylvania,50.68,5.89,99,44.79
PA-093,Montour County,Pennsylvania,49.38,8.23,115,41.15
PA-095,Northampton County,Pennsylvania,54.65,8.91,113,45.74
PA-097,Northumberland County,Pennsylvania,48.56,7.16,111,41.4
PA-099,Perry County,Pennsylvania,49.54,6.91,106,42.63
PA-101,Philadelphia County,Pennsylvania,51.41,7.27,106,44.14
PA-103,Pike County,Pennsylvania,57.68,13.41,122,44.27
PA-105,Potter County,Pennsylvania,47.18,7.06,116,40.12
PA-107,Schuylkill County,Pennsylvania,54.8,8.31,112,46.49
PA-109,Snyder County,Pennsylvania,49.6,7.15,111,42.45
PA-111,Somerset County,Pennsylvania,46.5,3,87,43.5
PA-113,Sullivan County,Pennsylvania,54.38,10.45,120,43.93
PA-115,Susquehanna County,Pennsylvania,54.19,13.43,122,40.76
PA-117,Tioga County,Pennsylvania,46.05,9.67,122,36.38
PA-119,Union County,Pennsylvania,49.47,8.09,115,41.38
PA-121,Venango County,Pennsylvania,44.66,2.53,83,42.13
PA-123,Warren County,Pennsylvania,42.7,-0.9,48,43.6
PA-125,Washington County,Pennsylvania,40.39,1.14,70,39.25
PA-127,Wayne County,Pennsylvania,58.02,15.39,126,42.63
PA-129,Westmoreland County,Pennsylvania,47.03,4.71,100,42.32
PA-131,Wyoming County,Pennsylvania,54.7,14.15,126,40.55
PA-133,York County,Pennsylvania,47.12,5.73,103,41.39
RI-001,Bristol County,Rhode Island,65.46,20.7,129,44.76
RI-003,Kent County,Rhode Island,68.22,22.29,129,45.93
RI-005,Newport County,Rhode Island,61.43,18.22,127,43.21
RI-007,Providence County,Rhode Island,66.99,20.64,128,46.35
RI-009,Washington County,Rhode Island,62.41,18.57,127,43.84
SC-001,Abbeville County,South Carolina,44.09,-3.85,49,47.94
SC-003,Aiken County,South Carolina,47.94,2.4,81,45.54
SC-005,Allendale County,South Carolina,56.77,10.4,114,46.37
SC-007,Anderson County,South Carolina,42.51,-6.44,35,48.95
SC-009,Bamberg County,South Carolina,55.17,8.55,110,46.62
SC-011,Barnwell County,South Carolina,51.42,5.28,98,46.14
SC-013,Beaufort County,South Carolina,54.94,6.84,107,48.1
SC-015,Berkeley County,South Carolina,58.45,9.95,114,48.5
SC-017,Calhoun County,South Carolina,46.61,0.55,76,46.06
SC-019,Charleston County,South Carolina,61.35,12.93,120,48.42
SC-021,Cherokee County,South Carolina,50.08,1.14,79,48.94
SC-023,Chester County,South Carolina,57.2,11.12,121,46.08
SC-025,Chesterfield County,South Carolina,53.62,7.78,107,45.84
SC-027,Clarendon County,South Carolina,47.13,-0.66,75,47.79
SC-029,Colleton County,South Carolina,59.74,12.06,119,47.68
SC-031,Darlington County,South Carolina,48.71,2.91,91,45.8
SC-033,Dillon County,South Carolina,49.63,3.84,93,45.79
SC-035,Dorchester County,South Carolina,59.01,11.27,119,47.74
SC-037,Edgefield County,South Carolina,44.06,-1.74,58,45.8
SC-039,Fairfield County,South Carolina,55.98,10.46,118,45.52
SC-041,Florence County,South Carolina,49.87,2.78,89,47.09
SC-043,Georgetown County,South Carolina,64.08,14.58,123,49.5
SC-045,Greenville County,South Carolina,47.9,-7.81,33,55.71
SC-047,Greenwood County,South Carolina,46.2,-0.75,70,46.95
SC-049,Hampton County,South Carolina,59.05,11.95,120,47.1
SC-051,Horry County,South Carolina,56.43,7.6,109,48.83
SC-053,Jasper County,South Carolina,55.69,7.46,112,48.23
SC-055,Kershaw County,South Carolina,54.32,8.51,107,45.81
SC-057,Lancaster County,South Carolina,58.96,13.44,124,45.52
SC-059,Laurens County,South Carolina,46.75,-1.15,59,47.9
SC-061,Lee County,South Carolina,50.3,4,94,46.3
SC-063,Lexington County,South Carolina,51.1,5.39,96,45.71
SC-065,McCormick County,South Carolina,44.97,-1.68,61,46.65
SC-067,Marion County,South Carolina,52.13,4.82,94,47.31
SC-069,Marlboro County,South Carolina,50.56,4.68,98,45.88
SC-071,Newberry County,South Carolina,54.93,8.93,107,46
SC-073,Oconee County,South Carolina,51.33,-9.58,26,60.91
SC-075,Orangeburg County,South Carolina,50.26,3.59,90,46.67
SC-077,Pickens County,South Carolina,52.04,-6.82,37,58.86
SC-079,Richland County,South Carolina,49.72,4.4,95,45.32
SC-081,Saluda County,South Carolina,48.58,2.52,87,46.06
SC-083,Spartanburg County,South Carolina,49.3,-1.98,58,51.28
SC-085,Sumter County,South Carolina,45.13,-1.29,70,46.42
SC-087,Union County,South Carolina,53.12,5.12,100,48
SC-089,Williamsburg County,South Carolina,56.72,8.09,114,48.63
SC-091,York County,South Carolina,53.1,6.24,109,46.86
SD-003,Aurora County,South Dakota,31.36,9.95,124,21.41
SD-005,Beadle County,South Dakota,27.34,7.08,119,20.26
SD-007,Bennett County,South Dakota,20.81,2.5,94,18.31
SD-009,Bon Homme County,South Dakota,32.96,8.89,120,24.07
SD-011,Brookings County,South Dakota,32.2,9.09,126,23.11
SD-013,Brown County,South Dakota,23.74,3.61,99,20.13
SD-015,Brule County,South Dakota,31.61,11.51,127,20.1
SD-017,Buffalo County,South Dakota,30.17,11.31,125,18.86
SD-019,Butte County,South Dakota,14.8,-0.69,55,15.49
SD-021,Campbell County,South Dakota,17.91,0.73,72,17.18
SD-023,Charles Mix County,South Dakota,31.65,9.24,124,22.41
SD-025,Clark County,South Dakota,28.35,6.52,118,21.83
SD-027,Clay County,South Dakota,33.95,8.53,120,25.42
SD-029,Codington County,South Dakota,30.57,7.69,122,22.88
SD-031,Corson County,South Dakota,17.43,0.54,70,16.89
SD-033,Custer County,South Dakota,16.44,-1.38,46,17.82
SD-035,Davison County,South Dakota,32.08,10.34,123,21.74
SD-037,Day County,South Dakota,26.19,4.5,103,21.69
SD-039,Deuel County,South Dakota,33.87,10.01,128,23.86
SD-041,Dewey County,South Dakota,17.93,0.99,74,16.94
SD-043,Douglas County,South Dakota,31.94,9.58,124,22.36
SD-045,Edmunds County,South Dakota,19.65,0.72,69,18.93
SD-047,Fall River County,South Dakota,15.74,-0.9,57,16.64
SD-049,Faulk County,South Dakota,22.38,3.49,96,18.89
SD-051,Grant County,South Dakota,31.93,8.68,127,23.25
SD-053,Gregory County,South Dakota,29.74,8.03,122,21.71
SD-055,Haakon County,South Dakota,17.38,0.34,77,17.04
SD-057,Hamlin County,South Dakota,32.08,9.42,126,22.66
SD-059,Hand County,South Dakota,27.14,7.8,122,19.34
SD-061,Hanson County,South Dakota,31.58,9.38,123,22.2
SD-063,Harding County,South Dakota,12.37,-2.19,31,14.56
SD-065,Hughes County,South Dakota,23.84,6.65,121,17.19
SD-067,Hutchinson County,South Dakota,33.04,9.45,121,23.59
SD-069,Hyde County,South Dakota,26.72,8.6,125,18.12
SD-071,Jackson County,South Dakota,19.26,1.89,93,17.37
SD-073,Jerauld County,South Dakota,29.57,8.8,122,20.77
SD-075,Jones County,South Dakota,21.68,4.3,111,17.38
SD-077,Kingsbury County,South Dakota,30.97,8.69,123,22.28
SD-079,Lake County,South Dakota,31.19,7.53,120,23.66
SD-081,Lawrence County,South Dakota,22.99,-0.91,60,23.9
SD-083,Lincoln County,South Dakota,38.55,12.89,126,25.66
SD-085,Lyman County,South Dakota,26.02,7.72,123,18.3
SD-087,McCook County,South Dakota,32.42,8.55,122,23.87
SD-089,McPherson County,South Dakota,19.05,0.31,62,18.74
SD-091,Marshall County,South Dakota,26.78,5.67,108,21.11
SD-093,Meade County,South Dakota,16.44,-0.47,64,16.91
SD-095,Mellette County,South Dakota,22.69,4.43,115,18.26
SD-097,Miner County,South Dakota,29.98,7.93,121,22.05
SD-099,Minnehaha County,South Dakota,32.71,7.63,123,25.08
SD-101,Moody County,South Dakota,31.33,7.38,120,23.95
SD-102,Oglala Lakota County,South Dakota,17.74,0.51,77,17.23
SD-103,Pennington County,South Dakota,17.71,-0.21,64,17.92
SD-105,Perkins County,South Dakota,14.77,-1.05,48,15.82
SD-107,Potter County,South Dakota,20.92,3.24,105,17.68
SD-109,Roberts County,South Dakota,29.92,7.91,122,22.01
SD-111,Sanborn County,South Dakota,29.1,8.02,120,21.08
SD-115,Spink County,South Dakota,25.32,5.31,111,20.01
SD-117,Stanley County,South Dakota,19.5,2.88,101,16.62
SD-119,Sully County,South Dakota,22.25,5.54,116,16.71
SD-121,Todd County,South Dakota,24.49,5.05,110,19.44
SD-123,Tripp County,South Dakota,26.17,6.14,119,20.03
SD-125,Turner County,South Dakota,35.72,10.6,124,25.12
SD-127,Union County,South Dakota,35.83,9.85,123,25.98
SD-129,Walworth County,South Dakota,19.08,1.12,75,17.96
SD-135,Yankton County,South Dakota,31.71,6.96,116,24.75
SD-137,Ziebach County,South Dakota,15.98,-0.31,65,16.29
TN-001,Anderson County,Tennessee,47.36,-4.79,37,52.15
TN-003,Bedford County,Tennessee,45.57,-7.55,20,53.12
TN-005,Benton County,Tennessee,37.05,-13.92,6,50.97
TN-007,Bledsoe County,Tennessee,47.02,-9,15,56.02
TN-009,Blount County,Tennessee,48.74,-5.08,35,53.82
TN-011,Bradley County,Tennessee,46.09,-6.33,25,52.42
TN-013,Campbell County,Tennessee,47.75,-3.94,37,51.69
TN-015,Cannon County,Tennessee,48.19,-5.92,28,54.11
TN-017,Carroll County,Tennessee,37.83,-13.2,9,51.03
TN-019,Carter County,Tennessee,45.08,-2.55,48,47.63
TN-021,Cheatham County,Tennessee,38.89,-10.15,13,49.04
TN-023,Chester County,Tennessee,41.94,-9.76,16,51.7
TN-025,Claiborne County,Tennessee,46.26,-4.11,35,50.37
TN-027,Clay County,Tennessee,44.63,-7.92,25,52.55
TN-029,Cocke County,Tennessee,45.32,-2.58,46,47.9
TN-031,Coffee County,Tennessee,47.9,-6.45,20,54.35
TN-033,Crockett County,Tennessee,40.02,-10.18,15,50.2
TN-035,Cumberland County,Tennessee,44.25,-10.82,11,55.07
TN-037,Davidson County,Tennessee,40.27,-8.18,18,48.45
TN-039,Decatur County,Tennessee,38.09,-14.23,8,52.32
TN-041,DeKalb County,Tennessee,47.05,-6.23,26,53.28
TN-043,Dickson County,Tennessee,37.88,-12.38,7,50.26
TN-045,Dyer County,Tennessee,39.77,-8.78,17,48.55
TN-047,Fayette County,Tennessee,45.49,-6.65,30,52.14
TN-049,Fentress County,Tennessee,45.12,-7.99,14,53.11
TN-051,Franklin County,Tennessee,50.15,-4.34,34,54.49
TN-053,Gibson County,Tennessee,40.4,-10,17,50.4
TN-055,Giles County,Tennessee,44.58,-9.44,16,54.02
TN-057,Grainger County,Tennessee,42.02,-5.67,28,47.69
TN-059,Greene County,Tennessee,43.61,-0.57,58,44.18
TN-061,Grundy County,Tennessee,51.31,-5.52,26,56.83
TN-063,Hamblen County,Tennessee,38.49,-6.87,16,45.36
TN-065,Hamilton County,Tennessee,42.42,-12.18,12,54.6
TN-067,Hancock County,Tennessee,43.51,-4.99,31,48.5
TN-069,Hardeman County,Tennessee,46.32,-6.25,34,52.57
TN-071,Hardin County,Tennessee,41.26,-11.02,14,52.28
TN-073,Hawkins County,Tennessee,40.46,-5.47,24,45.93
TN-075,Haywood County,Tennessee,42.25,-8.48,21,50.73
TN-077,Henderson County,Tennessee,38.27,-13.37,8,51.64
TN-079,Henry County,Tennessee,42.33,-7.95,23,50.28
TN-081,Hickman County,Tennessee,38.15,-13.81,5,51.96
TN-083,Houston County,Tennessee,42.2,-8.2,20,50.4
TN-085,Humphreys County,Tennessee,37.56,-13.92,4,51.48
TN-087,Jackson County,Tennessee,45.67,-7.68,22,53.35
TN-089,Jefferson County,Tennessee,41.33,-4.54,33,45.87
TN-091,Johnson County,Tennessee,48.61,-0.42,56,49.03
TN-093,Knox County,Tennessee,46.58,-2.72,46,49.3
TN-095,Lake County,Tennessee,42.06,-6.29,27,48.35
TN-097,Lauderdale County,Tennessee,42.23,-7.15,27,49.38
TN-099,Lawrence County,Tennessee,40.62,-13.79,10,54.41
TN-101,Lewis County,Tennessee,39.73,-13.51,9,53.24
TN-103,Lincoln County,Tennessee,48.66,-5.7,27,54.36
TN-105,Loudon County,Tennessee,46.33,-5.36,30,51.69
TN-107,McMinn County,Tennessee,47.57,-5.14,34,52.71
TN-109,McNairy County,Tennessee,42.69,-9.52,16,52.21
TN-111,Macon County,Tennessee,50.32,-2.45,47,52.77
TN-113,Madison County,Tennessee,41.78,-9.53,17,51.31
TN-115,Marion County,Tennessee,49.22,-7.49,20,56.71
TN-117,Marshall County,Tennessee,44.36,-8.41,17,52.77
TN-119,Maury County,Tennessee,41.77,-9.78,16,51.55
TN-121,Meigs County,Tennessee,48.52,-5.14,37,53.66
TN-123,Monroe County,Tennessee,45.26,-10.43,15,55.69
TN-125,Montgomery County,Tennessee,42.61,-6.34,29,48.95
TN-127,Moore County,Tennessee,47.86,-6.63,23,54.49
TN-129,Morgan County,Tennessee,44.97,-8.11,19,53.08
TN-131,Obion County,Tennessee,45.67,-3.99,47,49.66
TN-133,Overton County,Tennessee,42.76,-10.88,10,53.64
TN-135,Perry County,Tennessee,37.68,-15.23,7,52.91
TN-137,Pickett County,Tennessee,45.58,-6.87,25,52.45
TN-139,Polk County,Tennessee,48.15,-6.47,26,54.62
TN-141,Putnam County,Tennessee,46.09,-8.49,17,54.58
TN-143,Rhea County,Tennessee,48.3,-7.05,24,55.35
TN-145,Roane County,Tennessee,45.15,-7.25,22,52.4
TN-147,Robertson County,Tennessee,45.16,-3.86,39,49.02
TN-149,Rutherford County,Tennessee,45.71,-5.36,29,51.07
TN-151,Scott County,Tennessee,48.6,-4.07,41,52.67
TN-153,Sequatchie County,Tennessee,46.41,-10.83,13,57.24
TN-155,Sevier County,Tennessee,49.13,-5.38,30,54.51
TN-157,Shelby County,Tennessee,42.34,-8.39,20,50.73
TN-159,Smith County,Tennessee,47.9,-4.97,37,52.87
TN-161,Stewart County,Tennessee,43.24,-6.63,28,49.87
TN-163,Sullivan County,Tennessee,39.84,-4.11,35,43.95
TN-165,Sumner County,Tennessee,48.84,-1.35,54,50.19
TN-167,Tipton County,Tennessee,44.82,-5.37,36,50.19
TN-169,Trousdale County,Tennessee,50.97,-0.91,60,51.88
TN-171,Unicoi County,Tennessee,48.37,-0.44,55,48.81
TN-173,Union County,Tennessee,45.42,-4.05,36,49.47
TN-175,Van Buren County,Tennessee,47.99,-6.64,22,54.63
TN-177,Warren County,Tennessee,47.55,-6.22,22,53.77
TN-179,Washington County,Tennessee,42.33,-1.86,51,44.19
TN-181,Wayne County,Tennessee,41.93,-12.14,12,54.07
TN-183,Weakley County,Tennessee,42.49,-8.06,21,50.55
TN-185,White County,Tennessee,47.16,-7.16,18,54.32
TN-187,Williamson County,Tennessee,40,-10.06,15,50.06
TN-189,Wilson County,Tennessee,47.46,-4.11,39,51.57
TX-001,Anderson County,Texas,61.07,19.62,126,41.45
TX-003,Andrews County,Texas,10.01,-4.68,23,14.69
TX-005,Angelina County,Texas,72.06,23.57,129,48.49
TX-007,Aransas County,Texas,32.04,-1.68,64,33.72
TX-009,Archer County,Texas,34.28,6.6,103,27.68
TX-011,Armstrong County,Texas,18.75,-2.14,50,20.89
TX-013,Atascosa County,Texas,25.82,-0.79,66,26.61
TX-015,Austin County,Texas,53.19,12.23,111,40.96
TX-017,Bailey County,Texas,17.06,-0.4,60,17.46
TX-019,Bandera County,Texas,24.72,-5.02,41,29.74
TX-021,Bastrop County,Texas,41.84,6.86,97,34.98
TX-023,Baylor County,Texas,31.47,5.9,104,25.57
TX-025,Bee County,Texas,27.96,-2.19,60,30.15
TX-027,Bell County,Texas,42.68,9.78,107,32.9
TX-029,Bexar County,Texas,25.3,-4.3,48,29.6
TX-031,Blanco County,Texas,29.86,-1.1,60,30.96
TX-033,Borden County,Texas,17.29,-1.58,58,18.87
TX-035,Bosque County,Texas,47.83,15.66,121,32.17
TX-037,Bowie County,Texas,62.01,14.42,121,47.59
TX-039,Brazoria County,Texas,63.57,18.25,118,45.32
TX-041,Brazos County,Texas,51.12,11.68,111,39.44
TX-043,Brewster County,Texas,8.5,-4.61,16,13.11
TX-045,Briscoe County,Texas,21.26,0.35,72,20.91
TX-047,Brooks County,Texas,25.03,1.31,84,23.72
TX-049,Brown County,Texas,32.01,5.25,102,26.76
TX-051,Burleson County,Texas,47.92,10.42,105,37.5
TX-053,Burnet County,Texas,36.23,6.06,102,30.17
TX-055,Caldwell County,Texas,35.55,2.21,76,33.34
TX-057,Calhoun County,Texas,44.42,6.55,96,37.87
TX-059,Callahan County,Texas,28.62,2.76,89,25.86
TX-061,Cameron County,Texas,28.09,3.28,90,24.81
TX-063,Camp County,Texas,56.42,12.02,116,44.4
TX-065,Carson County,Texas,20.22,-0.46,65,20.68
TX-067,Cass County,Texas,61.18,13.93,114,47.25
TX-069,Castro County,Texas,15.85,-2.8,38,18.65
TX-071,Chambers County,Texas,69.75,20.15,120,49.6
TX-073,Cherokee County,Texas,65.01,20.65,126,44.36
TX-075,Childress County,Texas,21.07,-1.54,58,22.61
TX-077,Clay County,Texas,36.29,6.27,100,30.02
TX-079,Cochran County,Texas,16.12,-1.4,53,17.52
TX-081,Coke County,Texas,22.51,0.54,74,21.97
TX-083,Coleman County,Texas,28.63,2.71,88,25.92
TX-085,Collin County,Texas,47.88,9.9,108,37.98
TX-087,Collingsworth County,Texas,21.85,-1.4,61,23.25
TX-089,Colorado County,Texas,48.45,8.07,93,40.38
TX-091,Comal County,Texas,28.96,-3.46,54,32.42
TX-093,Comanche County,Texas,36.67,8.42,110,28.25
TX-095,Concho County,Texas,24.29,0.27,66,24.02
TX-097,Cooke County,Texas,42.65,7.12,96,35.53
TX-099,Coryell County,Texas,40.69,9.17,110,31.52
TX-101,Cottle County,Texas,26.34,3.89,100,22.45
TX-103,Crane County,Texas,8.62,-4.54,19,13.16
TX-105,Crockett County,Texas,13.73,-4.38,33,18.11
TX-107,Crosby County,Texas,22.61,2.27,86,20.34
TX-109,Culberson County,Texas,5.85,-6.09,3,11.94
TX-111,Dallam County,Texas,14.49,-2.1,44,16.59
TX-113,Dallas County,Texas,52.63,16.23,126,36.4
TX-115,Dawson County,Texas,17.19,-0.23,66,17.42
TX-117,Deaf Smith County,Texas,15.29,-3.03,41,18.32
TX-119,Delta County,Texas,52.98,9.99,111,42.99
TX-121,Denton County,Texas,45.64,10.75,112,34.89
TX-123,DeWitt County,Texas,36.59,2.05,76,34.54
TX-125,Dickens County,Texas,26.87,5.26,104,21.61
TX-127,Dimmit County,Texas,15.05,-6.07,25,21.12
TX-129,Donley County,Texas,20.34,-1.63,58,21.97
TX-131,Duval County,Texas,25.79,2.08,89,23.71
TX-133,Eastland County,Texas,33.32,5.71,101,27.61
TX-135,Ector County,Texas,8.75,-5.07,17,13.82
TX-137,Edwards County,Texas,19.14,-4.33,38,23.47
TX-139,Ellis County,Texas,54.58,18.18,124,36.4
TX-141,El Paso County,Texas,5.38,-3.43,10,8.81
TX-143,Erath County,Texas,41.68,11.97,118,29.71
TX-145,Falls County,Texas,47.62,12.72,114,34.9
TX-147,Fannin County,Texas,48.98,7.92,100,41.06
TX-149,Fayette County,Texas,45.66,8.27,100,37.39
TX-151,Fisher County,Texas,23.7,1.71,85,21.99
TX-153,Floyd County,Texas,22.54,1.83,86,20.71
TX-155,Foard County,Texas,29.52,5.24,108,24.28
TX-157,Fort Bend County,Texas,59.12,15.04,115,44.08
TX-159,Franklin County,Texas,59.02,15.11,121,43.91
TX-161,Freestone County,Texas,53.01,14.09,123,38.92
TX-163,Frio County,Texas,21.24,-2.91,52,24.15
TX-165,Gaines County,Texas,13.24,-2.74,49,15.98
TX-167,Galveston County,Texas,66.08,18.96,119,47.12
TX-169,Garza County,Texas,20.83,1.3,83,19.53
TX-171,Gillespie County,Texas,31.01,2.04,80,28.97
TX-173,Glasscock County,Texas,14.3,-3.44,37,17.74
TX-175,Goliad County,Texas,32.26,-0.9,66,33.16
TX-177,Gonzales County,Texas,33.75,0.03,71,33.72
TX-179,Gray County,Texas,24.31,2.13,85,22.18
TX-181,Grayson County,Texas,45.98,7.79,99,38.19
TX-183,Gregg County,Texas,62.03,17.01,122,45.02
TX-185,Grimes County,Texas,60.11,18.35,123,41.76
TX-187,Guadalupe County,Texas,30.85,-0.92,62,31.77
TX-189,Hale County,Texas,18.5,-0.92,65,19.42
TX-191,Hall County,Texas,22.07,0.85,77,21.22
TX-193,Hamilton County,Texas,39,9.13,113,29.87
TX-195,Hansford County,Texas,21.99,2.94,99,19.05
TX-197,Hardeman County,Texas,24.39,-0.09,70,24.48
TX-199,Hardin County,Texas,71.83,19.49,118,52.34
TX-201,Harris County,Texas,62.87,16.46,117,46.41
TX-203,Harrison County,Texas,66.26,19.2,124,47.06
TX-205,Hartley County,Texas,14.91,-2.41,50,17.32
TX-207,Haskell County,Texas,28.39,4.26,95,24.13
TX-209,Hays County,Texas,33.09,0.19,66,32.9
TX-211,Hemphill County,Texas,21.68,-0.82,58,22.5
TX-213,Henderson County,Texas,56.47,15.59,123,40.88
TX-215,Hidalgo County,Texas,23.17,0.42,76,22.76
TX-217,Hill County,Texas,50.65,15.87,121,34.78
TX-219,Hockley County,Texas,17.95,-0.27,64,18.22
TX-221,Hood County,Texas,46.28,15.19,122,31.09
TX-223,Hopkins County,Texas,56.91,14.26,120,42.65
TX-225,Houston County,Texas,67.17,23.12,127,44.05
TX-227,Howard County,Texas,14.76,-3.8,37,18.56
TX-229,Hudspeth County,Texas,5.58,-4.75,6,10.33
TX-231,Hunt County,Texas,55.81,15.32,126,40.49
TX-233,Hutchinson County,Texas,18.97,-0.44,63,19.41
TX-235,Irion County,Texas,18.27,-1.73,54,20
TX-237,Jack County,Texas,34.67,4.65,94,30.02
TX-239,Jackson County,Texas,48.03,8.26,92,39.77
TX-241,Jasper County,Texas,68.88,14.82,114,54.06
TX-243,Jeff Davis County,Texas,8.13,-6.69,7,14.82
TX-245,Jefferson County,Texas,69.87,17.58,114,52.29
TX-247,Jim Hogg County,Texas,23.23,1.41,84,21.82
TX-249,Jim Wells County,Texas,28.12,1.8,88,26.32
TX-251,Johnson County,Texas,48.03,14.56,121,33.47
TX-253,Jones County,Texas,26.69,3.12,91,23.57
TX-255,Karnes County,Texas,32.75,2.63,84,30.12
TX-257,Kaufman County,Texas,58.99,19.68,127,39.31
TX-259,Kendall County,Texas,26.98,-4.14,50,31.12
TX-261,Kenedy County,Texas,26.97,1.42,84,25.56
TX-263,Kent County,Texas,23.14,2.34,88,20.8
TX-265,Kerr County,Texas,28.03,-0.47,68,28.5
TX-267,Kimble County,Texas,32.04,6.4,106,25.64
TX-269,King County,Texas,30.31,7.65,114,22.66
TX-271,Kinney County,Texas,13.7,-7.78,19,21.48
TX-273,Kleberg County,Texas,27.73,0.91,79,26.82
TX-275,Knox County,Texas,32.2,8.11,112,24.09
TX-277,Lamar County,Texas,49.89,5.72,90,44.17
TX-279,Lamb County,Texas,16.48,-1.97,51,18.45
TX-281,Lampasas County,Texas,36.51,7.07,108,29.44
TX-283,La Salle County,Texas,20.69,-1.43,61,22.12
TX-285,Lavaca County,Texas,41.76,4.14,83,37.62
TX-287,Lee County,Texas,46.86,10.72,106,36.14
TX-289,Leon County,Texas,60.99,20.42,128,40.57
TX-291,Liberty County,Texas,70.52,20.98,122,49.55
TX-293,Limestone County,Texas,48.81,11.58,112,37.23
TX-295,Lipscomb County,Texas,21.74,-0.13,67,21.87
TX-297,Live Oak County,Texas,27.84,0.98,77,26.86
TX-299,Llano County,Texas,36.32,8.02,109,28.3
TX-301,Loving County,Texas,5.88,-5.66,9,11.54
TX-303,Lubbock County,Texas,21.68,2.74,95,18.94
TX-305,Lynn County,Texas,20.49,1.92,87,18.57
TX-307,McCulloch County,Texas,28.4,2.81,91,25.59
TX-309,McLennan County,Texas,47.94,14.33,119,33.61
TX-311,McMullen County,Texas,24.81,0.97,78,23.84
TX-313,Madison County,Texas,63.67,22.44,128,41.23
TX-315,Marion County,Texas,63.63,16.7,120,46.93
TX-317,Martin County,Texas,13.4,-3.24,42,16.64
TX-319,Mason County,Texas,31.71,5.08,101,26.63
TX-321,Matagorda County,Texas,57.06,14.82,111,42.24
TX-323,Maverick County,Texas,12.78,-7.55,21,20.33
TX-325,Medina County,Texas,19.61,-7.87,28,27.48
TX-327,Menard County,Texas,28.53,3.29,87,25.24
TX-329,Midland County,Texas,11.73,-3.68,31,15.41
TX-331,Milam County,Texas,44.93,10.13,110,34.8
TX-333,Mills County,Texas,34.61,6.57,108,28.04
TX-335,Mitchell County,Texas,17.48,-3.03,50,20.51
TX-337,Montague County,Texas,39.73,7.37,99,32.36
TX-339,Montgomery County,Texas,67.07,21.23,125,45.84
TX-341,Moore County,Texas,15.79,-2.72,38,18.51
TX-343,Morris County,Texas,56.6,10.82,111,45.78
TX-345,Motley County,Texas,25.26,3.8,93,21.46
TX-347,Nacogdoches County,Texas,69.41,21.94,128,47.47
TX-349,Navarro County,Texas,48.15,10.62,113,37.53
TX-351,Newton County,Texas,68.02,12.64,109,55.38
TX-353,Nolan County,Texas,23.16,0.1,71,23.06
TX-355,Nueces County,Texas,30.2,1.52,82,28.68
TX-357,Ochiltree County,Texas,23.94,3.48,97,20.46
TX-359,Oldham County,Texas,13.6,-4.1,27,17.7
TX-361,Orange County,Texas,67.81,12.92,107,54.89
TX-363,Palo Pinto County,Texas,36.07,6.66,105,29.41
TX-365,Panola County,Texas,66.26,18.69,125,47.57
TX-367,Parker County,Texas,39.38,7.6,104,31.78
TX-369,Parmer County,Texas,15.9,-1.83,44,17.73
TX-371,Pecos County,Texas,8.5,-4.96,16,13.46
TX-373,Polk County,Texas,75.32,25.65,128,49.67
TX-375,Potter County,Texas,16.11,-2.86,44,18.97
TX-377,Presidio County,Texas,7.56,-5.81,10,13.37
TX-379,Rains County,Texas,62,20.96,127,41.04
TX-381,Randall County,Texas,17.46,-2.2,47,19.66
TX-383,Reagan County,Texas,14.52,-2.98,40,17.5
TX-385,Real County,Texas,22.34,-4.58,41,26.92
TX-387,Red River County,Texas,56.08,9.92,106,46.16
TX-389,Reeves County,Texas,5.68,-5.83,4,11.51
